,id,match_api_id,home_team_api_id,Hometeam_rating,Awayteam_rating,league,avg_player_rating
144,145,493016,9996,35.17140618002687,71.48226934849232,Belgium Jupiler League,53.326837764259594
145,146,493017,8203,63.88384403475313,67.67851391764435,Belgium Jupiler League,65.78117897619875
146,147,493018,9986,48.900859434682964,63.1513085399449,Belgium Jupiler League,56.02608398731393
147,148,493019,9985,65.32635279647683,65.26872548272841,Belgium Jupiler League,65.29753913960262
148,149,493020,9994,60.01073926073926,62.531900930319914,Belgium Jupiler League,61.27132009552959
149,150,493021,8342,69.92307735742517,56.74451659451659,Belgium Jupiler League,63.333796975970884
150,151,493022,9993,61.06952226033545,58.59270656879353,Belgium Jupiler League,59.83111441456449
151,152,493023,7947,56.75346344245866,49.64681295715778,Belgium Jupiler League,53.20013819980822
152,153,493024,10000,65.55168279432985,58.81372377622376,Belgium Jupiler League,62.1827032852768
153,154,493025,9984,65.82988250752182,69.92307735742519,Belgium Jupiler League,67.8764799324735
154,155,493026,9998,51.14717630853995,64.74346509594206,Belgium Jupiler League,57.945320702241006
155,156,493027,8635,71.82460207238427,66.00820453346029,Belgium Jupiler League,68.91640330292228
156,157,493028,8571,58.69450395441445,59.88369963369964,Belgium Jupiler League,59.289101794057046
157,158,493029,9987,67.46682560595605,57.17164526064048,Belgium Jupiler League,62.31923543329826
158,159,493030,10001,58.86701631701631,64.30925196016105,Belgium Jupiler League,61.58813413858868
160,161,493032,9991,63.00618165618166,57.13939393939393,Belgium Jupiler League,60.0727877977878
161,162,493033,9986,55.134371021135735,61.09657853739172,Belgium Jupiler League,58.11547477926373
162,163,493034,8203,64.46076711167619,71.44992826698154,Belgium Jupiler League,67.95534768932887
163,164,493035,9985,64.42604177012491,67.30713344626386,Belgium Jupiler League,65.86658760819438
164,165,493036,9993,61.079852838847835,50.73312672176308,Belgium Jupiler League,55.906489780305456
165,166,493037,9994,53.778649128649135,54.66494953353243,Belgium Jupiler League,54.22179933109078
166,167,493038,7947,56.897147031596795,65.82988250752182,Belgium Jupiler League,61.3635147695593
167,168,493039,8342,69.36777432712215,62.40997937361574,Belgium Jupiler League,65.88887685036894
168,169,493040,10000,66.26622592383461,62.508152958152955,Belgium Jupiler League,64.38718944099378
170,171,493042,4049,55.75757575757575,58.286451048951044,Belgium Jupiler League,57.0220134032634
171,172,493043,8571,58.44400527009223,69.5386284729763,Belgium Jupiler League,63.991316871534266
172,173,493044,9986,55.134371021135735,65.37205361268848,Belgium Jupiler League,60.253212316912105
173,174,493045,9991,68.87707894071531,65.70337047862623,Belgium Jupiler League,67.29022470967077
174,175,493046,9998,51.14717630853995,54.07235542235542,Belgium Jupiler League,52.609765865447685
175,176,493047,10001,52.09705710955711,56.897147031596795,Belgium Jupiler League,54.49710207057696
176,177,493048,9999,62.720274170274166,64.46076711167619,Belgium Jupiler League,63.59052064097518
177,178,493049,9984,64.81815230224322,46.24413345275414,Belgium Jupiler League,55.53114287749868
178,179,493050,9987,67.2284151034151,55.75757575757576,Belgium Jupiler League,61.49299543049543
179,180,493051,8635,71.73540322775062,61.15561041460542,Belgium Jupiler League,66.44550682117801
180,181,493052,9994,59.32410367410368,71.92664716899456,Belgium Jupiler League,65.62537542154912
182,183,493054,8342,69.65163352348135,55.13437102113573,Belgium Jupiler League,62.393002272308536
183,184,493055,10000,59.733673508929265,65.51624614388544,Belgium Jupiler League,62.62495982640735
184,185,493056,7947,56.35125958570936,62.51004597368233,Belgium Jupiler League,59.43065277969585
185,186,493057,4049,55.98014629049111,61.94451659451659,Belgium Jupiler League,58.96233144250385
186,187,493058,8203,59.95500166500165,50.99823241549584,Belgium Jupiler League,55.47661704024875
187,188,493059,9987,67.78987755400799,52.09705710955711,Belgium Jupiler League,59.94346733178255
188,189,493060,9985,71.31212209605067,60.74268243349561,Belgium Jupiler League,66.02740226477314
189,190,493061,8635,72.17207766442506,69.5386284729763,Belgium Jupiler League,70.85535306870068
190,191,493062,9999,62.59300144300144,67.59561348474391,Belgium Jupiler League,65.09430746387267
191,192,493063,9993,60.248911314332645,65.53417855943431,Belgium Jupiler League,62.89154493688348
192,193,493064,9985,71.40303118695978,59.10871905871906,Belgium Jupiler League,65.25587512283943
193,194,493065,8571,57.2670444857785,56.35125958570936,Belgium Jupiler League,56.80915203574393
194,195,493066,9998,51.988085399449034,59.518053158962246,Belgium Jupiler League,55.75306927920564
196,197,493068,9984,65.84583825265643,38.32121212121212,Belgium Jupiler League,52.08352518693428
